http_method,endpoint
[:POST],/agents/corporate_entities
[:GET],/agents/corporate_entities
[:POST],/agents/corporate_entities/:id
[:GET],/agents/corporate_entities/:id
[:DELETE],/agents/corporate_entities/:id
[:POST],/agents/families
[:GET],/agents/families
[:POST],/agents/families/:id
[:GET],/agents/families/:id
[:DELETE],/agents/families/:id
[:POST],/agents/people
[:GET],/agents/people
[:POST],/agents/people/:id
[:GET],/agents/people/:id
[:DELETE],/agents/people/:id
[:POST],/agents/software
[:GET],/agents/software
[:POST],/agents/software/:id
[:GET],/agents/software/:id
[:DELETE],/agents/software/:id
[:POST],/batch_delete
[:GET],/by-external-id
[:GET],/config/enumeration_values/:enum_val_id
[:POST],/config/enumeration_values/:enum_val_id
[:POST],/config/enumeration_values/:enum_val_id/position
[:POST],/config/enumeration_values/:enum_val_id/suppressed
[:GET],/config/enumerations
[:POST],/config/enumerations
[:POST],/config/enumerations/:enum_id
[:GET],/config/enumerations/:enum_id
[:POST],/config/enumerations/migration
[:GET],/config/enumerations/names/:enum_name
[:POST],/container_profiles
[:GET],/container_profiles
[:POST],/container_profiles/:id
[:GET],/container_profiles/:id
[:DELETE],/container_profiles/:id
[:GET],/current_global_preferences
[:GET],/date_calculator
[:GET],/delete-feed
[:GET],/extent_calculator
[:GET],/job_types
[:POST],/location_profiles
[:GET],/location_profiles
[:POST],/location_profiles/:id
[:GET],/location_profiles/:id
[:DELETE],/location_profiles/:id
[:POST],/locations
[:GET],/locations
[:POST],/locations/:id
[:GET],/locations/:id
[:DELETE],/locations/:id
[:POST],/locations/batch
[:POST],/locations/batch_update
[:POST],/logout
[:POST],/merge_requests/agent
[:POST],/merge_requests/digital_object
[:POST],/merge_requests/resource
[:POST],/merge_requests/subject
[:GET],/notifications
[:GET],/oai
[:GET],/oai_sample
[:GET],/permissions
[:GET],/reports
[:GET],/reports/static/*
[:POST],/repositories
[:GET],/repositories
[:POST],/repositories/:id
[:GET],/repositories/:id
[:DELETE],/repositories/:repo_id
[:POST],/repositories/:repo_id/accessions
[:GET],/repositories/:repo_id/accessions
[:POST],/repositories/:repo_id/accessions/:id
[:GET],/repositories/:repo_id/accessions/:id
[:DELETE],/repositories/:repo_id/accessions/:id
[:POST],/repositories/:repo_id/accessions/:id/suppressed
[:GET],/repositories/:repo_id/accessions/:id/top_containers
[:POST],/repositories/:repo_id/accessions/:id/transfer
[:GET],/repositories/:repo_id/archival_contexts/corporate_entities/:id.:fmt/metadata
[:GET],/repositories/:repo_id/archival_contexts/corporate_entities/:id.xml
[:GET],/repositories/:repo_id/archival_contexts/families/:id.:fmt/metadata
[:GET],/repositories/:repo_id/archival_contexts/families/:id.xml
[:GET],/repositories/:repo_id/archival_contexts/people/:id.:fmt/metadata
[:GET],/repositories/:repo_id/archival_contexts/people/:id.xml
[:GET],/repositories/:repo_id/archival_contexts/softwares/:id.:fmt/metadata
[:GET],/repositories/:repo_id/archival_contexts/softwares/:id.xml
[:POST],/repositories/:repo_id/archival_objects
[:GET],/repositories/:repo_id/archival_objects
[:POST],/repositories/:repo_id/archival_objects/:id
[:GET],/repositories/:repo_id/archival_objects/:id
[:DELETE],/repositories/:repo_id/archival_objects/:id
[:POST],/repositories/:repo_id/archival_objects/:id/accept_children
[:GET],/repositories/:repo_id/archival_objects/:id/children
[:POST],/repositories/:repo_id/archival_objects/:id/children
[:POST],/repositories/:repo_id/archival_objects/:id/parent
[:GET],/repositories/:repo_id/archival_objects/:id/previous
[:POST],/repositories/:repo_id/archival_objects/:id/suppressed
[:POST],/repositories/:repo_id/assessment_attribute_definitions
[:GET],/repositories/:repo_id/assessment_attribute_definitions
[:POST],/repositories/:repo_id/assessments
[:GET],/repositories/:repo_id/assessments
[:POST],/repositories/:repo_id/assessments/:id
[:GET],/repositories/:repo_id/assessments/:id
[:DELETE],/repositories/:repo_id/assessments/:id
[:POST],/repositories/:repo_id/batch_imports
[:POST],/repositories/:repo_id/classification_terms
[:GET],/repositories/:repo_id/classification_terms
[:POST],/repositories/:repo_id/classification_terms/:id
[:GET],/repositories/:repo_id/classification_terms/:id
[:DELETE],/repositories/:repo_id/classification_terms/:id
[:POST],/repositories/:repo_id/classification_terms/:id/accept_children
[:GET],/repositories/:repo_id/classification_terms/:id/children
[:POST],/repositories/:repo_id/classification_terms/:id/parent
[:POST],/repositories/:repo_id/classifications
[:GET],/repositories/:repo_id/classifications
[:GET],/repositories/:repo_id/classifications/:id
[:POST],/repositories/:repo_id/classifications/:id
[:DELETE],/repositories/:repo_id/classifications/:id
[:POST],/repositories/:repo_id/classifications/:id/accept_children
[:GET],/repositories/:repo_id/classifications/:id/tree
[:GET],/repositories/:repo_id/classifications/:id/tree/node
[:GET],/repositories/:repo_id/classifications/:id/tree/node_from_root
[:GET],/repositories/:repo_id/classifications/:id/tree/root
[:GET],/repositories/:repo_id/classifications/:id/tree/waypoint
[:GET],/repositories/:repo_id/collection_management/:id
[:POST],/repositories/:repo_id/component_transfers
[:GET],/repositories/:repo_id/current_preferences
[:POST],/repositories/:repo_id/default_values/:record_type
[:GET],/repositories/:repo_id/default_values/:record_type
[:POST],/repositories/:repo_id/digital_object_components
[:GET],/repositories/:repo_id/digital_object_components
[:POST],/repositories/:repo_id/digital_object_components/:id
[:GET],/repositories/:repo_id/digital_object_components/:id
[:DELETE],/repositories/:repo_id/digital_object_components/:id
[:POST],/repositories/:repo_id/digital_object_components/:id/accept_children
[:POST],/repositories/:repo_id/digital_object_components/:id/children
[:GET],/repositories/:repo_id/digital_object_components/:id/children
[:POST],/repositories/:repo_id/digital_object_components/:id/parent
[:POST],/repositories/:repo_id/digital_object_components/:id/suppressed
[:POST],/repositories/:repo_id/digital_objects
[:GET],/repositories/:repo_id/digital_objects
[:GET],/repositories/:repo_id/digital_objects/:id
[:POST],/repositories/:repo_id/digital_objects/:id
[:DELETE],/repositories/:repo_id/digital_objects/:id
[:POST],/repositories/:repo_id/digital_objects/:id/accept_children
[:POST],/repositories/:repo_id/digital_objects/:id/children
[:POST],/repositories/:repo_id/digital_objects/:id/publish
[:POST],/repositories/:repo_id/digital_objects/:id/suppressed
[:POST],/repositories/:repo_id/digital_objects/:id/transfer
[:GET],/repositories/:repo_id/digital_objects/:id/tree
[:GET],/repositories/:repo_id/digital_objects/:id/tree/node
[:GET],/repositories/:repo_id/digital_objects/:id/tree/node_from_root
[:GET],/repositories/:repo_id/digital_objects/:id/tree/root
[:GET],/repositories/:repo_id/digital_objects/:id/tree/waypoint
[:GET],/repositories/:repo_id/digital_objects/dublin_core/:id.:fmt/metadata
[:GET],/repositories/:repo_id/digital_objects/dublin_core/:id.xml
[:GET],/repositories/:repo_id/digital_objects/mets/:id.:fmt/metadata
[:GET],/repositories/:repo_id/digital_objects/mets/:id.xml
[:GET],/repositories/:repo_id/digital_objects/mods/:id.:fmt/metadata
[:GET],/repositories/:repo_id/digital_objects/mods/:id.xml
[:POST],/repositories/:repo_id/events
[:GET],/repositories/:repo_id/events
[:POST],/repositories/:repo_id/events/:id
[:GET],/repositories/:repo_id/events/:id
[:DELETE],/repositories/:repo_id/events/:id
[:POST],/repositories/:repo_id/events/:id/suppressed
[:GET],/repositories/:repo_id/find_by_id/archival_objects
[:GET],/repositories/:repo_id/find_by_id/digital_object_components
[:GET],/repositories/:repo_id/find_by_id/digital_objects
[:GET],/repositories/:repo_id/find_by_id/resources
[:POST],/repositories/:repo_id/groups
[:GET],/repositories/:repo_id/groups
[:POST],/repositories/:repo_id/groups/:id
[:GET],/repositories/:repo_id/groups/:id
[:DELETE],/repositories/:repo_id/groups/:id
[:POST],/repositories/:repo_id/jobs
[:GET],/repositories/:repo_id/jobs
[:DELETE],/repositories/:repo_id/jobs/:id
[:GET],/repositories/:repo_id/jobs/:id
[:POST],/repositories/:repo_id/jobs/:id/cancel
[:GET],/repositories/:repo_id/jobs/:id/log
[:GET],/repositories/:repo_id/jobs/:id/output_files
[:GET],/repositories/:repo_id/jobs/:id/output_files/:file_id
[:GET],/repositories/:repo_id/jobs/:id/records
[:GET],/repositories/:repo_id/jobs/active
